feature,gain,split
roll_mean_28,588257986.9956856,2679
roll_mean_7,312609364.62205887,2998
roll_std_28,56584438.2685585,552
roll_mean_56,40935712.83766937,3371
sell_price,13248295.622047424,5453
roll_mean_180,12963525.457489014,3399
roll_std_180,9383249.919181824,1733
weekday,7343252.669467926,3242
price_relative_mean,5737182.015029907,3045
day_of_month,3626190.9855880737,2628
has_price_change,3090961.119594574,628
dept_id,3063954.224647522,3385
price_change_pct,2769609.7037734985,1370
week_of_year,2399192.7580986023,3112
roll_std_7,1936657.213027954,1575
month,1896112.3989448547,1377
roll_max_28,1819776.5051689148,328
store_id,1760758.274532318,2809
roll_max_7,1498994.533340454,440
roll_std_56,1307285.3032608032,721
is_weekend,999904.7649307251,232
days_until_next_event,784959.9622840881,1503
roll_min_7,729027.4167098999,285
days_since_event,723826.8596572876,1411
lag_14,707073.54479599,481
cat_id,706230.6360015869,755
lag_7,604138.1969413757,1010
is_holiday,566321.970161438,321
price_volatility,549061.8512573242,828
lag_28,527780.7827148438,469
year,504327.6732978821,861
roll_max_56,469184.7819747925,259
roll_max_180,425609.68980407715,718
lag_56,395966.3611488342,448
state_id,222333.637840271,432
is_snap_wi,210220.06467437744,254
is_snap_tx,114456.8689956665,161
quarter,38619.18076324463,47
is_snap_ca,17607.40277481079,49
roll_min_180,2835.4119567871094,8
roll_min_56,0.0,0
roll_min_28,0.0,0
